paragraphId,chapterTitle,subChapterTitle,content,dataType
1,Objective,Objective,The objective of European Sustainability Reporting Standards (ESRS) is to specify the sustainability information that an undertaking shall disclose in accordance with Directive 2013/34/EU of the European Parliament and of the Council1 as amended by Directive (EU) 2022/2464 of the European Parliament and of the Council. 2 Reporting in accordance with ESRS does not exempt undertakings from other obligations laid down in Union law.,
2,Objective,Objective,Specifically ESRS specify the information that an undertaking shall disclose about its material impacts risks and opportunities in relation to environmental social and governance sustainability matters. ESRS do not require undertakings to disclose any information on environmental social and governance topics covered by ESRS when the undertaking has assessed the topic in question as non-material (See Appendix E of this Standard “Flowchart for determining disclosures to be included”).The information disclosed in accordance with ESRS enables users of the sustainability statement to understand the undertaking's material impacts on people and environment and the material effects of sustainability matters on the undertaking's development performance and position.,
3,Objective,Objective,The objective of this Standard (ESRS 1) is to provide an understanding of the architecture of ESRS the drafting conventions and fundamental concepts used and the general requirements for preparing and presenting sustainability information in accordance with Directive 2013/34/EU as amended by Directive (EU) 2022/2464.,
4,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,There are three categories of ESRS:\n (a) cross-cutting standards;\n (b) topical standards (Environmental Social and Governance standards); and (c) sectorspecific standards. Cross-cutting standards and topical standards are sector-agnostic meaning that they apply to all undertakings regardless of which sector or sectors the undertaking operates in.,
5,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,The cross-cutting standards ESRS 1 General requirements and ESRS 2 General disclosures apply to the sustainability matters covered by topical standards and sector-specific standards.,
6,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,This standard (ESRS 1) describes the architecture of ESRS standards explains drafting conventions and fundamental concepts and sets out general requirements for preparing and presenting sustainability-related information.,
7,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,"ESRS 2 establishes Disclosure Requirements on the information that the undertaking shall provide at a general level across all material sustainability matters on the reporting areas governance, strategy, impact, risk and opportunity management and metrics and targets",
8,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,Topical ESRS cover a sustainability topic and are structured into topics and sub-topics and where necessary sub-sub-topics. The table in Application Requirement 16 (AR 16) to this standard provides an overview of the sustainability topics sub-topics and sub-sub-topics (collectively ‘sustainability matters') covered by topical ESRS,
9,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,Topical ESRS can include specific requirements that complement the general level Disclosure Requirements of ESRS 2. ESRS 2 Appendix C Disclosure/Application Requirements in topical ESRS that are applicable jointly with ESRS 2 General Disclosures provides a list of the additional requirements in topical ESRS that the undertaking shall apply in conjunction with the general level disclosure requirements of ESRS 2.,
10,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,"Sector-specific standards are applicable to all undertakings within a sector. They address impacts, risks and opportunities that are likely to be material for all undertakings in a specific sector and that are not covered or not sufficiently covered by topical standards. Sector-specific standards are multi-topical and cover the topics that are most relevant to the sector in question. Sector-specific standards achieve a high degree of comparability.",
11,"Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,"In addition to the disclosure requirements laid down in the three categories of ESRS when an undertaking concludes that an impact risk or opportunity is not covered or not covered with sufficient granularity by an ESRS but is material due to its specific facts and circumstances it shall provide additional entity-specific disclosures to enable users to understand the undertaking's sustainability-related impacts, risks or opportunities. Application requirements AR 1 to AR 5 provide further guidance regarding entity-specific disclosures.",
12,"Categories of ESRS Standards, reporting areas and drafting conventions","1.2 Reporting areas and minimum content disclosure requirements on policies, actions, targets and metrics","The Disclosure Requirements in ESRS 2 in topical ESRS and in sector-specific ESRS are structured into the following reporting areas:\n (a) Governance (GOV): the governance processes controls and procedures used to monitor manage and oversee impacts, risks and opportunities (see ESRS 2 chapter 2 Governance);\n (b) Strategy (SBM): how the undertaking's strategy and business model interact with its material impacts risks and opportunities including how the undertaking addresses those impacts risks and opportunities (see ESRS 2 chapter 3 Strategy);\n (c) Impact, risk and opportunity management (IRO): the process(es) by which the undertaking: i. identifies impacts risks and opportunities and assesses their materiality (see IRO-1 in section 4.1 of ESRS 2) ii. manages material sustainability matters through policies and actions (see section 4.2 of ESRS 2).\n (d) Metrics and targets (MT): the undertaking's performance including targets it has set and progress towards meeting them (see ESRS 2 chapter 5 Metrics and targets).",
13,"Categories of ESRS Standards, reporting areas and drafting conventions","1.2 Reporting areas and minimum content disclosure requirements on policies, actions, targets and metrics",ESRS 2 includes:\n (a) in section 4.2 Minimum Disclosure Requirements regarding policies (MDR-P) and actions (MDR-A);\n (b) in section 5 Minimum Disclosure Requirements regarding metrics (MDR-M) and targets (MDRT). The undertaking shall apply the minimum disclosure requirements regarding policies actions metrics and targets together with the corresponding Disclosure Requirements in topical and sector-specific ESRS.,
14,"Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,In all ESRS:\n (a) the term “impacts” refers to positive and negative sustainability-related impacts that are connected with the undertaking's business as identified through an impact materiality assessment (see section 3.4 Impact materiality). It refers both to actual impacts and to potential future impacts.\n (b) The term “risks and opportunities” refers to the undertaking's sustainability-related financial risks and opportunities including those deriving from dependencies on natural human and social resources as identified through a financial materiality assessment (see section 3.5). Collectively these are referred to as “impacts risks and opportunities” (IROs). They reflect the double materiality perspective of ESRS described in section 3.,
15,"Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,Throughout ESRS the terms that are defined in the glossary of definitions (Annex II) are put in bold italic except when a defined term is used more than once in the same paragraph.,
16,"Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,ESRS structure the information to be disclosed under Disclosure Requirements. Each Disclosure Requirement consists of one or more distinct datapoints. The term “datapoint” can also refer to a narrative sub-element of a Disclosure Requirement.,
17,"Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,In addition to Disclosure Requirements most ESRS also contain Application Requirements. Application Requirements support the application of Disclosure Requirements and have the same authority as other parts of an ESRS.,
18,"Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,ESRS use the following terms to distinguish between different degrees of obligation on the undertaking to disclose information:\n (a) “shall disclose” - indicates that the provision is prescribed by a Disclosure Requirement or datapoint;\n (b) “may disclose” - indicates voluntary disclosure to encourage good practice. In addition ESRS use the term “shall consider” when referring to issues resources or methodologies that the undertaking is expected to take into account or to use in the preparation of a given disclosure if applicable.,
19,Qualitative characteristics of information,2. Qualitative characteristics of information,When preparing its sustainability statement the undertaking shall apply:\n (a) the fundamental qualitative characteristics of information i.e. relevance and faithful representation; and\n (b) the enhancing qualitative characteristics of information i.e. comparability verifiability and understandability.,
20,Qualitative characteristics of information,2. Qualitative characteristics of information,These qualitative characteristics of information are defined and described in Appendix B of this Standard.,
21,Double materiality as the basis for sustainability disclosures,3. Double materiality as the basis for sustainability disclosures,The undertaking shall report on sustainability matters based on the double materiality principle as defined and explained in this chapter.,
22,Double materiality as the basis for sustainability disclosures,3.1 Stakeholders and their relevance to the materiality assessment process,Stakeholders are those who can affect or be affected by the undertaking. There are two main groups of stakeholders:\n (a) affected stakeholders: individuals or groups whose interests are affected or could be affected - positively or negatively - by the undertaking's activities and its direct and indirect business relationships across its value chain; and\n (b) users of sustainability statements: primary users of general-purpose financial reporting (existing and potential investors lenders and other creditors including asset managers credit institutions insurance undertakings) and other users of sustainability statements including the undertaking's business partners trade unions and social partners civil society and non-governmental organisations governments analysts and academics.,
23,Double materiality as the basis for sustainability disclosures,3.1 Stakeholders and their relevance to the materiality assessment process,Some but not all stakeholders may belong to both groups referred to in paragraph 22.,
24,Double materiality as the basis for sustainability disclosures,3.1 Stakeholders and their relevance to the materiality assessment process,Engagement with affected stakeholders is central to the undertaking's on-going due diligence process (see chapter 4 Due diligence) and sustainability materiality assessment. This includes its processes to identify and assess actual and potential negative impacts which then inform the assessment process to identify the material impacts for the purposes of sustainability reporting (see section 3.4 of this Standard).,
25,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"Performing a materiality assessment (see sections 3.4 Impact materiality and 3.5 Financial materiality) is necessary for the undertaking to identify the material impacts, risks and opportunities to be reported.",
26,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"Materiality assessment is the starting point for sustainability reporting under ESRS. IRO-1 in section 4.1 of ESRS 2 includes general disclosure requirements about the undertaking's process to identify impacts, risks and opportunities and assess their materiality. SBM-3 of ESRS 2 provides general disclosure requirements on the material impacts risks and opportunities resulting from the undertaking's materiality assessment",
27,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,The Application Requirements in Appendix A of this Standard include a list of sustainability matters covered in topical ESRS categorised by topics sub-topics and sub-sub-topics to support the materiality assessment. Appendix E Flowchart for determining disclosures to be included of this Standard provides an illustration of the materiality assessment described in this section.,
28,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,A sustainability matter is “material” when it meets the criteria defined for impact materiality (see section 3.4 of this Standard) or financial materiality (see section 3.5 of this Standard) or both.,
29,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"Irrespective of the outcome of its materiality assessment the undertaking shall always disclose the information required by: ESRS 2 General Disclosures (i.e. all the Disclosure Requirements and data points specified in ESRS 2) and the Disclosure Requirements (including their datapoints) in topical ESRS related to the Disclosure Requirement IRO-1 Description of the process to identify and assess material impacts, risks and opportunities as listed in ESRS 2 6 Appendix C Disclosure/Application Requirements in topical ESRS that are applicable jointly with ESRS 2 General Disclosures",
30,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,When the undertaking concludes that a sustainability matter is material as a result of its materiality assessment on which ESRS 2 IRO-1 IRO-2 and SBM-3 set disclosure requirements it shall:\n (a) disclose information according to the Disclosure Requirements (including Application Requirements) related to that specific sustainability matter in the corresponding topical and sector-specific ESRS; and\n (b) disclose additional entity-specific disclosures (see paragraph 11 and AR 1 to AR 5 of this Standard) when the material sustainability matter is not covered by an ESRS or is covered with insufficient granularity.,
31,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,The applicable information prescribed within a Disclosure Requirement including its datapoints or an entity-specific disclosure shall be disclosed when the undertaking assesses as part of its assessment of material information that the information is relevant from one or more of the following perspectives:\n (a) the significance of the information in relation to the matter it purports to depict or explain; or\n (b) the capacity of such information to meet the users' decision-making needs including the needs of primary users of general-purpose financial reporting described in paragraph 48 and/or the needs of users whose principal interest is in information about the undertaking's impacts.,
32,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,If the undertaking concludes that climate change is not material and therefore omits all disclosure requirements in ESRS E1 Climate change it shall disclose a detailed explanation of the conclusions of its materiality assessment with regard to climate change (see ESRS 2 IRO2 Disclosure Requirements in ESRS covered by the undertaking's sustainability statement) including a forward-looking analysis of the conditions that could lead the undertaking to conclude that climate change is material in the future. If the undertaking concludes that a topic other than climate change is not material and therefore it omits all the Disclosure Requirements in the corresponding topical ESRS it may briefly explain the conclusions of its materiality assessment for that topic.,
