index,paragraphId,chapterTitle,subChapterTitle,content,summary,dataType
1,1,Objective,Objective,"This ESRS sets out the disclosure requirements that apply to all undertakings regardless of their sector of activity (i.e., sector agnostic) and apply across sustainability topics (i.e., crosscutting). This ESRS covers the reporting areas defined in ESRS 1 General requirements section 1.2 Cross-Cutting Standards and reporting areas.","This ESRS outlines universal disclosure requirements for all businesses, regardless of sector, covering various sustainability topics and reporting areas.",
2,2,Objective,Objective,"In the preparation of disclosures under this Standard, the undertaking shall apply the Disclosure Requirements (including their datapoints) set in topical ESRS, as listed in Appendix C of this Standard Disclosure/Application Requirements in topical ESRS that are applicable jointly with ESRS 2 General Disclosures. The undertaking shall apply the requirements listed in Appendix C:\n (a) in all instances for the requirements in topical standards related to Disclosure Requirement IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities; and\n (b) for all other requirements listed in appendix C, only if the sustainability topic is material based on the undertaking's materiality assessment (see ESRS 1 chapter 3 Double materiality as the basis for sustainability disclosures).","The undertaking must follow the Disclosure Requirements in topical ESRS, applying them in all instances for IRO-1 Description and only if the topic is material based on the undertaking's assessment for other requirements.",
3,3,Basis for preparation,Disclosure Requirement BP-1 - General basis for preparation of the sustainability statement,The undertaking shall disclose the general basis for preparation of its sustainability statement,The company will reveal the basic method used to create its sustainability report.,narrative
4,4,Basis for preparation,Disclosure Requirement BP-1 - General basis for preparation of the sustainability statement,"The objective of this Disclosure Requirement is to provide an understanding of how the undertaking prepares its sustainability statement, including the scope of consolidation, the upstream and downstream value chain information and, where relevant, whether the undertaking has used any of the options for omitting information referred to in points d) and e) in the following paragraph.","This Disclosure Requirement aims to explain how a company prepares its sustainability statement, including consolidation scope, value chain information, and any omitted information.",
5,5,Basis for preparation,Disclosure Requirement BP-1 - General basis for preparation of the sustainability statement,"The undertaking shall disclose the following information:\n (a) whether the sustainability statement has been prepared on a consolidated or individual basis;\n (b) for consolidated sustainability statements: i. a confirmation that the scope of consolidation is the same as for the financial statements, or, where applicable, a declaration that the reporting undertaking is not required to draw-up financial statements or that the reporting undertaking is preparing consolidated sustainability reporting pursuant to Article 48i of Directive 2013/34/EU; and ii. where applicable, an indication of which subsidiary undertakings included in the consolidation are exempted from individual or consolidated sustainability reporting pursuant to Articles 19a(9) or 29a(8) of Directive 2013/34/EU;\n (c) to what extent the sustainability statement covers the undertaking's upstream and downstream value chain (see ESRS 1 section 5.1 Reporting undertaking and value chain);\n (d) whether the undertaking has used the option to omit a specific piece of information corresponding to intellectual property, know-how or the results of innovation (see ESRS 1 section 7.7 Classified and sensitive information and information on intellectual property, know-how or results of innovation); and\n (e) for undertakings based in an EU member state that allows for the exemption from disclosure of impending developments or matters in the course of negotiation, as provided for in articles 19a(3) and 29a(3) of Directive 2013/34/EU, whether the undertaking has used that exemption.","The undertaking must disclose information about its sustainability statement, including its basis, scope, coverage of the value chain, any omitted information, and use of any exemptions from disclosure.",semi-narrative
6,AR1,Basis for preparation,Disclosure Requirement BP-1 - General basis for preparation of the sustainability statement,"When describing to what extent the sustainability statement covers the undertaking's upstream and downstream value chain (see ESRS 1 section 5.1 Reporting undertaking and value chain), the undertaking may distinguish between:\n (a) the extent to which its materiality assessment of impacts, risks and opportunities extends to its upstream and/or downstream value chain;\n (b) the extent to which its policies, actions and targets extend to its value chain; and\n (c) the extent to which it includes upstream and/or downstream value chain data when disclosing on metrics.","The sustainability statement discusses the extent of the undertaking's impact assessment, policies, actions, targets, and data disclosure in its upstream and downstream value chain.",
7,6,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,The undertaking shall provide disclosures in relation to specific circumstances.,The project will offer information about particular situations.,narrative
8,7,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,The objective of this Disclosure Requirement is to provide an understanding of the effect of these specific circumstances on the preparation of the sustainability statement.,This Disclosure Requirement aims to explain how specific circumstances impact the creation of the sustainability statement.,
9,8,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,The undertaking may report this information alongside the disclosures to which they refer,The project may include this information with the related disclosures.,
10,9,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"When the undertaking has deviated from the medium- or long-term time horizons defined by ESRS 1 section 6.4 Definition of short-, medium- and long-term for reporting purposes, it shall describe:\n (a) its definitions of medium- or long-term time horizons; and (b) the reasons for applying those definitions.","If a project strays from the set timeframes, it must explain its new definitions of medium or long-term periods and why they were used.",semi-narrative
