paragraphId,chapterTitle,subChapterTitle,content,,dataType
1,Objective,,"The objective of this Standard is to specify Disclosure Requirements which will enable users of the sustainability statement to understand:\n (a) how the undertaking affects resource use, including resource efficiency, avoiding the depletion of resources and the sustainable sourcing and use of renewable resources (referred to in this Standard as “resource use and circular economy”) in terms of material positive and negative actual or potential impacts;\n (b) any actions taken, and the result of such actions, to prevent or mitigate actual or potential negative impacts arising from resource use, including its measures to help decoupling its economic growth from the use of materials, and to address risks and opportunities;\n (c) the plans and capacity of the undertaking to adapt its strategy and business model in line with circular economy principles including but not limited to minimising waste, maintaining the value of products, materials and other resources at their highest value and enhancing their efficient use in production and consumption;\n (d) the nature, type and extent of the undertaking’s material risks and opportunities related to the undertaking’s impacts and dependencies, arising from resource use and circular economy, and how the undertaking manages them; and\n (e) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities arising from the undertaking’s impacts and dependencies on resource use and circular economy.",,
2,Objective,,"This Standard sets out Disclosure Requirements related to “resource use” and “circular economy” and in particular on:\n (a) resource inflows including the circularity of material resource inflows, considering renewable and non-renewable resources; and\n (b) resource outflows including information on products and materials; and\n (c) waste.",,
3,Objective,,"Circular economy means an economic system in which the value of products, materials and other resources in the economy is maintained for as long as possible, enhancing their efficient use in production and consumption, thereby reducing the environmental impact of their use, minimising waste and the release of hazardous substances at all stages of their life cycle, including through the application of the waste hierarchy. The goal is to maximise and maintain the value of the technical and biological resources, products and materials by creating a system that allows for durability, optimal use or re-use, refurbishment, remanufacturing, recycling and nutrient cycling.",,
4,Objective,,"This Standard builds on relevant EU legislative frameworks and policies including the EU Circular Economy Action Plan, Directive 2008/98/EC of the European Parliament and of the Council1 (Waste Framework Directive) and the EU industrial strategy.",,
5,Objective,,"To evaluate the transition from business as usual, meaning an economy in which finite resources are extracted to make products that are used and then thrown away (“take-makewaste”), to a circular economic system, this Standard relies on the identification of the physical flows of resources, materials and products used and generated by the undertaking through Disclosure Requirement E5-4 Resource inflows and Disclosure Requirement E5-5 Resource outflows.",,
6,Interactions with other ESRS ,,"Resource use is a major driver of other environmental impacts such as climate change, pollution, water and marine resources and biodiversity. A circular economy is a system that tends towards sustainable use of resources in extraction, processing, production, consumption and management of waste. Such system brings multiple environmental benefits, in particular, the reduction of material and energy consumption and emissions into the air (greenhouse gas emissions or other pollution), the limitation of water withdrawals and discharges and the regeneration of nature limiting the impact on biodiversity.",,
7,Interactions with other ESRS ,,"To provide a comprehensive overview of which other environmental matters could be material to resource use and circular economy, relevant disclosure requirements are covered in other environmental ESRS as follows:\n (a) ESRS E1 Climate change, which addresses, in particular, GHG emissions and energy resources (energy consumption);\n (b) ESRS E2 Pollution, which addresses, in particular, emissions to water, air and soil as well as substances of concern;\n (c) ESRS E3 Water and marine resources, which addresses, in particular, water resource (water consumption) and marine resources; and\n (d) ESRS E4 Biodiversity and ecosystems, which addresses, in particular, ecosystems, species and raw materials.",,
8,Interactions with other ESRS ,,"The undertaking’s impacts related to resource use and circular economy, in particular impacts related to waste, can affect people and communities. Material negative impacts on affected communities from resource use and circular economy attributable to the undertaking are covered in ESRS S3 Affected communities. The efficient and circular use of resources also benefits competitiveness and economic wellbeing",,
9,Interactions with other ESRS ,,This Standard should be read in conjunction with ESRS 1 General requirements and ESRS 2 General disclosures.,,
10,ESRS 2 General disclosures,,"The requirements of this section should be read in conjunction with and reported alongside the disclosures required by ESRS 2 chapter 4 Impact, risk and opportunity management.",,
11,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",,"The undertaking shall describe the process to identify material impacts, risks and opportunities related to resource use and circular economy, in particular regarding resource inflows, resource outflows and waste, and shall provide information on:\n (a) whether the undertaking has screened its assets and activities in order to identify its actual and potential impacts, risks and opportunities in its own operations and its upstream and downstream value chain, and if so, the methodologies, assumptions and tools used in the screening;\n (b) whether and how the undertaking has conducted consultations, in particular, with affected communities.",,narrative
AR1,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",Application Requirements,"When conducting a materiality assessment on environmental subtopics, the undertaking shall assess the materiality of resource use and circular economy in its own operations and its upstream and downstream value chain, and may consider the four phases below, also known as the LEAP approach:\n (a) Phase 1: locate where in the undertaking’s own operations and along its upstream and downstream value chain the interface with nature takes place;\n (b) Phase 2: evaluate the dependencies and impacts;\n (c) Phase 3: assess the material risks and opportunities;\n (d) Phase 4: prepare and report the results of the materiality assessment.",,
AR2,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",Application Requirements,"With regard to ESRS E5, phases 1 and 2 rely mainly on the materiality assessments conducted under ESRS E1 (including energy consumption), ESRS E2 (pollution), ESRS E3 (marine resources, water consumption) and ESRS E4 (biodiversity, ecosystems, raw materials). Indeed, circular economy eventually aims at reducing the environmental impact of the use of products, materials and other resources, minimizing waste and the release of hazardous substances and hence at reducing impacts on nature. This application requirement focuses mainly on the third phase of this LEAP approach, while the fourth phase addresses the outcome of the process.",,
AR3,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",Application Requirements,"The process to assess the materiality of impacts, dependencies, risks and opportunities shall consider the provisions in ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities and IRO-2 Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement.",,
AR4,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",Application Requirements,"The sub-topics related to resource use and circular economy covered by the materiality assessment include:\n (a) resource inflows including the circularity of material resource inflows, considering resource use optimisation, intensity of materials and products and renewable and non-renewable resources;\n (b) resource outflows related to products and services; and\n (c) waste, including hazardous waste and non-hazardous waste management",,
AR5,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",Application Requirements,"In Phase 3, to assess its material risks and opportunities based on the results of Phases 1 and 2, the undertaking may:\n (a) identify transition risks and opportunities in its own operations and its upstream and downstream value chain, including the risk of staying in a business-as-usual scenario:\n (ai) policy and legal, e.g., bans on the extraction and use of non-renewable resources, regulations on waste treatment;\n (aii) technology, e.g., introduction on the market of new technologies to replace existing use of products and materials;\n (aiii) market, e.g., shifting supply, demand and financing; iv. reputation, e.g. changing societal, customer or community perceptions.\n (b) identify physical risks including depletion of stock and use of virgin and non-virgin renewable resources, and of non-renewable resources;\n (c) identify opportunities categorised by:\n (ci) resource efficiency: e.g., transition to more efficient services and processes requiring less resources, eco-design for longevity, repair, reuse, recycle, byproducts, take-back systems, decoupling activity from extraction of materials, intensifying circular material use, creation of a system that allows for dematerialization (e.g., digitisation, improving utilisation rates, weight reduction); practices to ensure products and materials are collected, sorted, and reused, repaired, refurbished, remanufactured;\n (ciii) financing: e.g., access to green funds, bonds or loans;\n (civ) resilience: e.g., diversification of resources and business activities (e.g., start a new business unit to recycle new materials), investing in green infrastructures, adopting recycling and circularity mechanisms that reduce the dependencies, capability of the undertaking to safeguard future stocks and flows of resources; and\n (v) reputation.",,
AR6,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",Application Requirements,"The undertaking may consider the following methodologies to assess its impacts, risks and opportunities in its own operations and along its upstream and downstream value chain:\n (a) Commission Recommendation 2021/2279 on the use of the Environmental Footprint methods to measure and communicate the life cycle environmental performance of products and organizations (Annex I - Product Environmental Footprint; Annex III - Organisation Environmental Footprint); and\n (b) Material Flow Analysis (MFA) from the European Environment Agency.",,
AR7,"Disclosure Requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",Application Requirements,"When providing information on the outcome of the materiality assessment, the undertaking shall consider:\n (a) a list of business units associated to resource use and circular economy material impacts, risks and opportunities in the context of the products and services of the undertaking and the waste it generates;\n (b) a list and prioritisation of the material resources used by the undertaking;\n (c) the material impacts and risks of staying in business as usual;\n (d) the material opportunities related to a circular economy;\n (e) the material impacts and risks of a transition to a circular economy; and\n (f) the stages of the value chain where resource use, risks and negative impacts are concentrated.",,narrative
12,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,,"The undertaking shall describe its policies adopted to manage its material impacts, risks and opportunities related to resource use and circular economy.",,
13,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,,"The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of its material impacts, risks and opportunities related to resource use and circular economy.",,
14,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,,"The disclosure required by paragraph 12 shall contain the information on the policies the undertaking has in place to manage its material impacts, risks and opportunities related to resource use and circular economy in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters.",,MDR-P
15,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,,"In the summary, the undertaking shall indicate whether and how its policies address the following matters where material:\n (a) transitioning away from use of virgin resources, including relative increases in use of secondary (recycled) resources;\n (b) sustainable sourcing and use of renewable resources.",,narrative
16,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,,"Policies shall address material impacts, risks and opportunities in its own operations and along its upstream and downstream value chain.",,
AR8,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,Application Requirements,The policies described under this Disclosure Requirement may be integrated in broader environmental or sustainability policies covering different subtopics.,,
AR9,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,Application Requirements,"When providing information on its policies, the undertaking shall consider whether and how its policies address:\n (a) the waste hierarchy: (a) prevention; (b) preparing for re-use; (c) recycling; (d) other recovery, e.g., energy recovery; and (e) disposal. In this context, the waste treatment cannot be considered as a recovery;\n (b) the prioritisation of the avoidance or minimisation waste (Re-use, Repair, Refurbish, Remanufacture and Repurpose) over waste treatment (Recycling). The concepts of eco-design4 , waste as a resource or post- consumer waste (at the end of a consumerproduct lifecycle), should also be taken into consideration.",,narrative
AR10,Disclosure Requirement E5-1 - Policies related to resource use and circular economy,Application Requirements,"When defining its policies, the undertaking may consider the Paper on “Categorisation system for the circular economy”, which describes circular design and production models, circular use models, circular value recovery models and circular support along the principles of the nine circular economy “R” strategies or principles: refuse, rethink, reduce, re-use, repair, refurbish, remanufacture, repurpose and recycle.",,
17,Disclosure Requirement E5-2 - Actions and resources related to resource use and circular economy,,The undertaking shall disclose its resource use and circular economy actions and the resources allocated to their implementation.,,
18,Disclosure Requirement E5-2 - Actions and resources related to resource use and circular economy,,The objective of this Disclosure Requirement is to enable an understanding of the key actions taken and planned to achieve the resource use and circular economy-related policy objectives and targets.,,
19,Disclosure Requirement E5-2 - Actions and resources related to resource use and circular economy,,The description of the resource use and circular economy-related actions and resources allocated shall follow the principles defined in ESRS 2 MDR-A Actions and resources in relation to material sustainability matters.,,MDR-A
