paragraphId,chapterTitle,subChapterTitle,content,,dataType
1,Objective,,"The objective of this Standard is to specify disclosure requirements which will enable users of the sustainability statement to understand material impacts on value chain workers connected with the undertaking’s own operations and value chain, including through its products or services, as well as through its business relationships, and its related material risks and opportunities, including:\n (a) how the undertaking affects workers in its value chain, in terms of material positive and negative actual or potential impacts;\n (b) any actions taken, and the result of such actions, to prevent, mitigate or remediate actual or potential negative impacts, and to address risks and opportunities;\n (c) the nature, type and extent of the undertaking’s material risks and opportunities, including those related to its impacts and dependencies on workers in the value chain, and how the undertaking manages them; and\n (d) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities, including those arising from the undertaking’s impacts and dependencies on workers in the value chain.",,
2,Objective,,"In order to meet the objective, this Standard requires an explanation of the general approach the undertaking takes to identify and manage any material actual and potential impacts on value chain workers in relation to:\n (a) working conditions (for example, secure employment, working time, adequate wage, social dialogue, freedom of association, including the existence of work councils, collective bargaining, work-life balance and health and safety);\n (b) equal treatment and opportunities for all (for example, gender equality and equal pay for work of equal value, training and skills development, the employment and inclusion of persons with disabilities, measures against violence and harassment in the workplace, and diversity);\n (c) other work-related rights (for example, child labour, forced labour, adequate housing, water and sanitation and privacy).",,
3,Objective,,"This Standard also requires an explanation of how such impacts, as well as the undertaking’s dependencies on value chain workers, can create material risks or opportunities for the undertaking. For example, negative impacts on value chain workers may disrupt the undertaking’s operations (through customers refusing to buy its products or state agencies impounding its goods) and harm its reputation. Conversely, respect for workers’ rights and active support programmes (for example through financial literacy initiatives) can bring business opportunities, such as more reliable supply or widening of the future consumer base.",,
4,Objective,,"This Standard covers all workers in the undertaking’s upstream and downstream value chain who are or can be materially impacted by the undertaking, including impacts that are connected with the undertaking’s own operations and value chain, including through its products or services, as well as through its business relationships. This includes all workers who are not included in the scope of “own workforce” (“own workforce” includes employees, individual contractors, i.e., self- employed workers, and workers provided by third party undertakings primarily engaged in ‘employment activities’). Own workforce is covered in ESRS S1 Own workforce. See AR 3 for examples of what is included in the scope of this Standard.",,
AR1,Objective,Application Requirements,"In addition to the issues listed in paragraph 2, the undertaking may also consider disclosing information about other issues relevant to a material impact for a shorter period of time, for instance initiatives regarding the health and safety of value chain workers during a pandemic",,
AR2,Objective,Application Requirements,"The overview of social and human rights matters provided in paragraph 2 is not meant to imply that all of these issues should be disclosed in each Disclosure Requirement in this Standard. Rather, it provides a list of matters that the undertaking shall consider in its materiality assessment (ref. to ESRS 1 chapter 3 Double materiality as the basis for sustainability disclosures and ESRS 2 IRO-1) related to value chain workers and, as appropriate, disclose as material impacts, risks and opportunities within the scope of this Standard.",,
AR3,Objective,Application Requirements,"Examples of workers that fall within the scope of this Standard are:\n (a) workers of outsourced services working in the workplace of the undertaking (e.g., third party catering or security workers);\n (b) workers of a supplier contracted by the undertaking who work on the supplier’s premises using the supplier’s work methods;\n (c) workers for a ‘downstream’ entity which purchases goods or services from the undertaking;\n (d) workers of an equipment supplier to the undertaking who, at a workplace controlled by the undertaking, perform regular maintenance on the supplier’s equipment (e.g., 10 photocopier) as stipulated in the contract between the equipment supplier and the undertaking; and\n (e) workers deeper in the supply chain who are extracting commodities that are then processed into components that go in the undertaking’s products.",,
5,Interaction with other ESRS,,This Standard applies when material impacts on and/or material risks and opportunities related to value chain workers have been identified through the materiality assessment process laid out in ESRS 2 General disclosures.,,
6,Interaction with other ESRS,,"This Standard shall be read in conjunction with ESRS 1 General requirements, and ESRS 2, as well as the ESRS S1, ESRS S3 Affected communities and ESRS S4 Consumers and endusers.",,
7,Interaction with other ESRS,,"The reporting under this Standard shall be consistent, coherent and where relevant clearly linked with reporting on the undertaking’s own workforce under ESRS S1, in order to ensure effective reporting.",,
